agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,0,1,0,1,0,0.94,21.5,move,False,1
1,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
2,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
3,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
0,1,1,0,0,1,1,0.8799999999999999,14.666666666666666,throw,False,2
1,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
2,1,1,1,0,0,0,0.8799999999999999,20.5,move,False,1
3,1,1,0,0,0,0,0.8799999999999999,14.666666666666666,move,False,1
0,1,2,0,0,1,2,0.8199999999999998,13.666666666666664,throw,False,2
1,1,2,1,0,1,1,0.8199999999999998,19.5,throw,False,2
2,1,2,1,0,0,1,0.8199999999999998,19.5,throw,False,2
3,1,2,1,0,1,0,0.8199999999999998,19.5,move,False,1
0,1,3,2,0,2,2,0.7599999999999998,24.33333333333333,move,False,2
1,1,3,1,0,1,2,0.7599999999999998,18.5,throw,False,2
2,1,3,1,0,0,2,0.7599999999999998,18.5,throw,False,2
3,1,3,0,0,1,1,0.7599999999999998,12.666666666666664,throw,False,2
0,1,4,2,0,2,3,0.6999999999999997,23.33333333333333,throw,False,3
1,1,4,1,0,1,3,0.6999999999999997,17.499999999999996,throw,False,2
2,1,4,1,0,0,3,0.6999999999999997,17.499999999999996,throw,False,2
3,1,4,0,0,1,2,0.6999999999999997,11.666666666666663,throw,False,2
0,1,5,2,0,2,4,0.6399999999999997,22.33333333333333,throw,False,4
1,1,5,0,0,1,4,0.6399999999999997,10.666666666666663,throw,False,3
2,1,5,1,0,0,4,0.6399999999999997,16.499999999999996,throw,False,3
3,1,5,1,0,1,3,0.6399999999999997,16.499999999999996,throw,False,3
0,1,6,1,0,2,5,0.5799999999999996,15.499999999999995,throw,False,5
1,1,6,1,0,1,5,0.5799999999999996,15.499999999999995,throw,False,4
2,1,6,1,0,0,5,0.5799999999999996,15.499999999999995,throw,False,3
3,1,6,1,0,1,4,0.5799999999999996,15.499999999999995,throw,False,4
0,1,7,1,1,2,5,0.8699999999999997,20.33333333333333,eat,False,6
1,1,7,0,0,1,6,0.5199999999999996,8.66666666666666,throw,False,4
2,1,7,1,0,0,6,0.5199999999999996,14.499999999999993,throw,False,3
3,1,7,1,0,1,5,0.5199999999999996,14.499999999999993,throw,False,4
0,1,8,1,1,2,6,0.8099999999999996,19.33333333333333,throw,False,7
1,1,8,1,0,1,7,0.4599999999999996,13.499999999999995,throw,False,4
2,1,8,0,0,0,7,0.4599999999999996,7.66666666666666,throw,False,4
3,1,8,1,0,1,6,0.4599999999999996,13.499999999999995,throw,False,4
0,1,9,1,1,2,7,0.7499999999999996,18.33333333333333,throw,False,7
