agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,0,1,0,1,0,0.94,21.5,move,False,1
1,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
2,1,0,1,0,1,0,0.94,21.5,move,False,1
3,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
0,1,1,0,1,1,0,1.23,20.5,eat,False,2
1,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
2,1,1,0,1,1,0,1.23,20.5,eat,False,2
3,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
0,1,2,1,1,2,0,1.17,25.333333333333336,move,False,2
1,1,2,0,1,1,0,1.17,19.5,eat,False,2
2,1,2,1,1,2,0,1.17,25.333333333333336,move,False,2
3,1,2,0,1,1,0,1.17,19.5,eat,False,2
0,1,3,0,2,2,0,1.46,24.333333333333332,eat,False,2
1,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
2,1,3,0,2,2,0,1.46,24.333333333333332,eat,False,2
3,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
0,1,4,0,2,2,0,1.4,23.333333333333332,move,False,2
1,1,4,1,1,2,0,1.0499999999999998,23.333333333333332,move,False,2
2,1,4,0,2,2,0,1.4,23.333333333333332,move,False,2
3,1,4,1,1,2,0,1.0499999999999998,23.333333333333332,move,False,2
0,1,5,1,2,3,0,1.3399999999999999,28.166666666666668,move,False,2
1,1,5,0,2,2,0,1.3399999999999999,22.333333333333332,eat,False,2
2,1,5,1,2,3,0,1.3399999999999999,28.166666666666668,move,False,2
3,1,5,0,2,2,0,1.3399999999999999,22.333333333333332,eat,False,2
0,1,6,0,3,3,0,1.63,27.166666666666664,eat,False,2
1,1,6,0,2,2,0,1.2799999999999998,21.333333333333332,move,False,2
2,1,6,0,3,3,0,1.63,27.166666666666664,eat,False,2
3,1,6,1,2,3,0,1.2799999999999998,27.166666666666664,move,False,2
0,1,7,0,3,3,0,1.5699999999999998,26.166666666666664,move,False,2
1,1,7,1,2,3,0,1.2199999999999998,26.166666666666664,move,False,2
2,1,7,1,3,4,0,1.5699999999999998,32.0,move,False,2
3,1,7,0,3,3,0,1.5699999999999998,26.166666666666664,eat,False,3
0,1,8,1,3,4,0,1.5099999999999998,31.0,move,False,3
1,1,8,0,3,3,0,1.5099999999999998,25.166666666666664,eat,False,3
2,1,8,0,4,4,0,1.8599999999999999,31.0,eat,False,3
3,1,8,0,3,3,0,1.5099999999999998,25.166666666666664,move,False,4
0,1,9,0,4,4,0,1.7999999999999998,29.999999999999996,eat,False,3
1,1,9,0,3,3,0,1.4499999999999997,24.166666666666664,move,False,4
2,1,9,0,4,4,0,1.7999999999999998,29.999999999999996,move,False,3
3,1,9,0,3,3,0,1.4499999999999997,24.166666666666664,move,False,4
