episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,74,73,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",9,74,66,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",13,74,62,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",16,74,59,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",17,74,58,0.75
1,"IF,no berries,medium health,low society wellbeing,THEN,move",19,74,56,0.75
1,"IF,low berries,low health,low society wellbeing,THEN,eat",24,74,51,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",41,74,34,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",41,74,34,0.75
