agent_id,episode,step,berries,berries_consumed,berries_foraged,berries_thrown,health,wellbeing,action,dead,num_behaviours
0,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
1,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
2,1,0,1,0,1,0,0.94,21.5,move,False,1
3,1,0,0,0,0,0,0.94,15.666666666666666,move,False,1
0,1,1,0,0,0,0,0.8799999999999999,14.666666666666666,move,False,1
1,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
2,1,1,0,1,1,0,1.23,20.5,eat,False,2
3,1,1,1,0,1,0,0.8799999999999999,20.5,move,False,1
0,1,2,0,0,0,0,0.8199999999999998,13.666666666666664,move,False,1
1,1,2,0,1,1,0,1.17,19.5,eat,False,2
2,1,2,1,1,2,0,1.17,25.333333333333336,move,False,2
3,1,2,0,1,1,0,1.17,19.5,eat,False,2
0,1,3,1,0,1,0,0.7599999999999998,18.5,move,False,1
1,1,3,0,1,1,0,1.1099999999999999,18.5,move,False,2
2,1,3,0,2,2,0,1.46,24.333333333333332,eat,False,2
3,1,3,1,1,2,0,1.1099999999999999,24.333333333333332,move,False,2
0,1,4,0,1,1,0,1.0499999999999998,17.499999999999996,eat,False,2
1,1,4,0,1,1,0,1.0499999999999998,17.499999999999996,move,False,2
2,1,4,1,2,3,0,1.4,29.166666666666668,move,False,2
3,1,4,0,2,2,0,1.4,23.333333333333332,eat,False,2
0,1,5,0,1,1,0,0.9899999999999998,16.499999999999996,move,False,2
1,1,5,0,1,1,0,0.9899999999999998,16.499999999999996,move,False,2
2,1,5,0,3,3,0,1.69,28.166666666666668,eat,False,2
3,1,5,0,2,2,0,1.3399999999999999,22.333333333333332,move,False,2
0,1,6,0,1,1,0,0.9299999999999997,15.499999999999996,move,False,2
1,1,6,0,1,1,0,0.9299999999999997,15.499999999999996,move,False,2
2,1,6,1,3,4,0,1.63,33.0,move,False,2
3,1,6,1,2,3,0,1.2799999999999998,27.166666666666664,move,False,2
0,1,7,0,1,1,0,0.8699999999999997,14.499999999999995,move,False,2
1,1,7,0,1,1,0,0.8699999999999997,14.499999999999995,move,False,2
2,1,7,0,4,4,0,1.92,32.0,eat,False,2
3,1,7,0,3,3,0,1.5699999999999998,26.166666666666664,eat,False,2
